# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s)
0.000000,0.000000,0.000000,1471.466078,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000
0.600000,2.773795,0.007843,1486.813428,10.769812,-0.002475,58.450592,0.704230,-0.053861,0.063497,-0.705072,0.067407,0.111644,0.000000
1.200000,12.389659,-0.889583,1541.094415,19.358584,-3.676103,113.812851,0.700827,0.009891,0.080739,-0.708677,0.057878,0.113548,0.000000
1.800000,24.871165,-4.363334,1616.637407,22.569261,-7.418645,138.164422,0.702522,-0.014837,0.074624,-0.707583,-0.017195,-0.042308,0.000000
2.400000,39.564695,-9.645588,1707.061574,26.123287,-10.666576,163.259105,0.701136,0.006660,0.079457,-0.708555,-0.026495,-0.047638,0.000000
3.000000,56.240157,-17.055519,1812.339184,29.409994,-13.967463,187.287933,0.701167,0.007401,0.078222,-0.708655,0.029589,0.045592,0.000000
3.600000,74.697415,-26.454728,1931.133518,32.089855,-17.202299,208.108800,0.701070,0.009774,0.077294,-0.708823,0.027874,0.038818,0.000000
4.200000,94.613333,-37.682275,2061.325583,34.260719,-20.079768,225.098317,0.700985,0.010867,0.077631,-0.708855,0.011608,0.014905,0.000000
4.800000,115.616567,-50.339194,2199.382060,35.437115,-21.671301,231.691349,0.700935,0.011508,0.077825,-0.708873,-0.000798,-0.002764,0.000000
5.400000,136.813280,-63.249874,2335.923202,35.154563,-21.284180,222.786767,0.700893,0.011962,0.078107,-0.708876,-0.002622,-0.002616,0.000000
6.000000,157.809138,-75.880367,2466.769439,34.834468,-20.829765,213.431077,0.700819,0.012766,0.078578,-0.708883,-0.000881,0.001101,0.000000
6.600000,178.622325,-88.251543,2592.112823,34.547029,-20.416404,204.436395,0.700729,0.013552,0.079411,-0.708865,-0.000521,0.002905,0.000000
7.200000,199.271699,-100.386081,2712.157046,34.288324,-20.039001,195.761007,0.700629,0.014380,0.080374,-0.708839,-0.000645,0.003715,0.000000
7.800000,219.773616,-112.303946,2827.082712,34.055044,-19.693112,187.368955,0.700519,0.015243,0.081468,-0.708804,-0.000911,0.004215,0.000000
8.400000,240.142474,-124.022857,2937.050473,33.844314,-19.375167,179.230155,0.700398,0.016154,0.082707,-0.708761,-0.001190,0.004791,0.000000
9.000000,260.391024,-135.558745,3042.204401,33.653645,-19.082034,171.318416,0.700264,0.017110,0.084100,-0.708706,-0.001377,0.005751,0.000000
9.600000,280.530305,-146.925283,3142.672859,33.480231,-18.810332,163.608230,0.700103,0.018185,0.085841,-0.708630,-0.001570,0.006815,0.000000
10.200000,300.570238,-158.135047,3238.570768,33.322155,-18.558385,156.080477,0.699928,0.019303,0.087750,-0.708540,-0.002036,0.007854,0.000000
10.800000,320.519665,-169.199272,3330.002572,33.178060,-18.324869,148.718661,0.699732,0.020503,0.089871,-0.708433,-0.002540,0.008384,0.000000
11.400000,340.386537,-180.128245,3417.063404,33.046747,-18.107931,141.508167,0.699508,0.021821,0.092275,-0.708306,-0.002858,0.008922,0.000000
12.000000,360.178029,-190.931599,3499.840042,32.926811,-17.905769,134.435945,0.699259,0.023212,0.094965,-0.708153,-0.003291,0.010243,0.000000
12.600000,379.900726,-201.618141,3578.411774,32.817119,-17.718117,127.489989,0.698979,0.024703,0.097946,-0.707973,-0.003956,0.011185,0.000000
13.200000,399.560488,-212.195885,3652.851138,32.716706,-17.543070,120.659632,0.698654,0.026349,0.101349,-0.707754,-0.004753,0.012712,0.000000
13.800000,419.162301,-222.672066,3723.224431,32.624379,-17.379708,113.934707,0.698273,0.028115,0.105399,-0.707471,-0.005726,0.014439,0.000000
14.400000,438.711334,-233.053842,3789.592047,32.539971,-17.227749,107.306142,0.697839,0.030071,0.109795,-0.707150,-0.006481,0.015980,0.000000
15.000000,458.211615,-243.347368,3852.009487,32.462251,-17.085796,100.766030,0.697329,0.032203,0.114894,-0.706749,-0.007607,0.018111,0.000000
15.600000,477.667378,-253.558801,3910.527436,32.391183,-16.953782,94.306724,0.696735,0.034577,0.120574,-0.706276,-0.008557,0.020224,0.000000
16.200000,497.082084,-263.693606,3965.192390,32.325486,-16.830382,87.921558,0.696030,0.037208,0.127111,-0.705692,-0.010255,0.023254,0.000000
16.800000,516.459138,-273.757036,4016.046786,32.265541,-16.715757,81.603847,0.695185,0.040168,0.134585,-0.704976,-0.011630,0.026335,0.000000
17.400000,535.801606,-283.754009,4063.129361,32.210071,-16.608693,75.347880,0.694165,0.043511,0.143164,-0.704092,-0.013841,0.030478,0.000000
18.000000,555.112131,-293.688934,4106.475432,32.159096,-16.508930,69.147892,0.692908,0.047316,0.153186,-0.702975,-0.016300,0.035391,0.000000
18.600000,574.393322,-303.566071,4146.116997,32.112138,-16.415906,62.998733,0.691346,0.051698,0.164860,-0.701561,-0.019262,0.041359,0.000000
19.200000,593.647375,-313.389214,4182.083134,32.068579,-16.328852,56.895694,0.689371,0.056784,0.178621,-0.699741,-0.023137,0.048947,0.000000
19.800000,612.876243,-323.161782,4214.400154,32.028138,-16.247230,50.834285,0.686828,0.062746,0.195008,-0.697353,-0.027962,0.058475,0.000000
20.400000,632.081679,-332.886843,4243.091783,31.990393,-16.170373,44.810413,0.683493,0.069813,0.214662,-0.694178,-0.034034,0.070528,0.000000
21.000000,651.265126,-342.567032,4268.179429,31.954653,-16.097551,38.820441,0.679036,0.078267,0.238434,-0.689878,-0.041968,0.085932,0.000000
21.600000,670.427424,-352.204595,4289.682464,31.919821,-16.028156,32.861227,0.672984,0.088334,0.267501,-0.683908,-0.053019,0.105523,0.000000
22.200000,689.569186,-361.801309,4307.618514,31.886317,-15.961232,26.930096,0.664601,0.100343,0.303284,-0.675465,-0.066837,0.130859,0.000000
22.800000,708.691297,-371.358446,4322.003797,31.854272,-15.896193,21.025080,0.652722,0.114954,0.347302,-0.663413,-0.083724,0.163503,0.000000
23.400000,727.794582,-380.877139,4332.853598,31.823588,-15.833180,15.145030,0.635613,0.132855,0.401186,-0.646059,-0.104634,0.204849,0.000000
24.000000,746.879935,-390.358891,4340.182758,31.794597,-15.773362,9.289598,0.610770,0.154604,0.466400,-0.620906,-0.130483,0.256069,0.000000
24.600000,765.948663,-399.806357,4344.006091,31.768468,-15.719534,3.458938,0.574728,0.180431,0.543661,-0.584432,-0.161793,0.317696,0.000000
25.200000,785.003157,-409.224561,4344.337822,31.747690,-15.676951,-2.348219,0.523049,0.209918,0.631848,-0.532087,-0.197801,0.388055,0.000000
25.800000,804.047621,-418.622322,4341.190696,31.735682,-15.652737,-8.142317,0.451243,0.241391,0.726088,-0.459232,-0.233724,0.457656,0.000000
26.400000,823.087961,-428.012022,4334.564313,31.794722,-15.773857,-14.122552,0.354936,0.272040,0.818099,-0.361303,-0.254884,0.497650,0.000000
27.000000,841.709641,-436.550205,4325.612778,30.253041,-12.637500,-15.450477,0.348067,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
27.600000,859.458105,-443.313136,4316.033977,28.958405,-10.007753,-16.476475,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
28.200000,876.509046,-448.660550,4305.850152,27.911725,-7.885990,-17.457471,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
28.800000,892.987338,-452.848498,4295.102709,27.041020,-6.125422,-18.350306,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
29.400000,908.984858,-456.065744,4283.851840,26.303260,-4.638297,-19.133048,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
30.000000,924.572567,-458.458389,4272.166296,25.671599,-3.369852,-19.799255,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
30.600000,939.808341,-460.145822,4260.115362,25.127755,-2.282695,-20.352498,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
31.200000,954.740594,-461.228319,4247.764062,24.657689,-1.349279,-20.802362,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
31.800000,969.409863,-461.791442,4235.170783,24.249168,-0.548166,-21.161372,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
32.400000,983.850185,-461.908994,4222.385909,23.893110,0.138748,-21.443217,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
33.000000,998.090749,-461.644666,4209.451781,23.582484,0.727153,-21.661320,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
33.600000,1012.156929,-461.053395,4196.402899,23.310871,1.230733,-21.827595,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
34.200000,1026.070485,-460.182404,4183.267112,23.072744,1.661443,-21.952401,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
34.800000,1039.849991,-459.072201,4170.066645,22.863307,2.029729,-22.044482,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
35.400000,1053.511377,-457.757444,4156.818919,22.678382,2.344677,-22.110974,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
36.000000,1067.068252,-456.267735,4143.537500,22.514350,2.614168,-22.157624,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
36.600000,1080.532155,-454.628182,4130.232832,22.368103,2.844968,-22.188981,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
37.200000,1093.913078,-452.860522,4116.913161,22.236929,3.042988,-22.208709,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
37.800000,1107.219215,-450.982568,4103.584415,22.118583,3.213123,-22.219499,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
38.400000,1120.457541,-449.009477,4090.250999,22.011139,3.359572,-22.223400,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
39.000000,1133.634236,-446.954676,4076.916673,21.912887,3.486059,-22.222167,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
39.600000,1146.754326,-444.829072,4063.584293,21.822438,3.595611,-22.217139,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
40.200000,1159.822329,-442.642467,4050.256223,21.738539,3.690960,-22.209431,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
40.800000,1172.841708,-440.402369,4036.933762,21.660223,3.774214,-22.199686,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
41.400000,1185.815610,-438.115596,4023.617921,21.586609,3.847296,-22.188403,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
42.000000,1198.746524,-435.787530,4010.309174,21.517000,3.911719,-22.175797,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
42.600000,1211.636705,-433.423037,3997.007882,21.450768,3.968852,-22.162028,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
43.200000,1224.487998,-431.026097,3983.714700,21.387399,4.019816,-22.147440,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
43.800000,1237.302034,-428.600222,3970.430402,21.326439,4.065597,-22.132457,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
44.400000,1250.080146,-426.148277,3957.155417,21.267520,4.107003,-22.117314,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
45.000000,1262.823429,-423.672612,3943.889890,21.210336,4.144696,-22.102093,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
45.600000,1275.532856,-421.175303,3930.633603,21.154618,4.179263,-22.086672,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
46.200000,1288.209227,-418.658046,3917.386212,21.100145,4.211181,-22.070863,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
46.800000,1300.853242,-416.122329,3904.148329,21.046727,4.240869,-22.055020,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
47.400000,1313.465482,-413.569385,3890.920106,20.994204,4.268672,-22.039238,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
48.000000,1326.046440,-411.000246,3877.701373,20.942442,4.294882,-22.023431,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
48.600000,1338.596542,-408.415797,3864.492046,20.891328,4.319747,-22.007565,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
49.200000,1351.116143,-405.816775,3851.292227,20.840765,4.343474,-21.991707,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
49.800000,1363.605546,-403.203803,3838.101946,20.790675,4.366236,-21.975891,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
50.400000,1376.065021,-400.577426,3824.921176,20.740987,4.388187,-21.960112,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
51.000000,1388.494791,-397.938096,3811.749862,20.691644,4.409451,-21.944354,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
51.600000,1400.895046,-395.286188,3798.587976,20.642596,4.430134,-21.928615,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
52.200000,1413.265949,-392.622017,3785.435515,20.593805,4.450323,-21.912907,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
52.800000,1425.607657,-389.945884,3772.292466,20.545231,4.470100,-21.897238,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
53.400000,1437.920298,-387.258028,3759.158808,20.496846,4.489530,-21.881612,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
54.000000,1450.203956,-384.558600,3746.034513,20.448627,4.508658,-21.866026,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
54.600000,1462.458720,-381.847757,3732.919559,20.400560,4.527521,-21.850480,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
55.200000,1474.684680,-379.125658,3719.813921,20.352627,4.546159,-21.834977,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
55.800000,1486.881913,-376.392431,3706.717567,20.304792,4.564630,-21.819509,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
56.400000,1499.050488,-373.648184,3693.630465,20.257038,4.582967,-21.804073,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
57.000000,1511.190465,-370.893001,3680.552598,20.209387,4.601153,-21.788685,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
57.600000,1523.301904,-368.126961,3667.483947,20.161867,4.619165,-21.773361,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
58.200000,1535.384857,-365.350136,3654.424493,20.114494,4.636993,-21.758111,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
58.800000,1547.439311,-362.562524,3641.374214,20.067177,4.654745,-21.742901,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
59.400000,1559.465221,-359.764084,3628.333090,20.019772,4.672588,-21.727670,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
60.000000,1571.462539,-356.954774,3615.301097,19.972135,4.690688,-21.712361,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
60.600000,1583.431160,-354.134484,3602.278246,19.924131,4.709199,-21.696928,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
61.200000,1595.370865,-351.302968,3589.264613,19.875649,4.728249,-21.681360,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
61.800000,1607.281420,-348.459964,3576.260282,19.826579,4.747961,-21.665646,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
62.400000,1619.162558,-345.605172,3563.265351,19.776844,4.768420,-21.649796,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
63.000000,1631.013724,-342.737956,3550.280049,19.726665,4.789385,-21.633985,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
63.600000,1642.834565,-339.857914,3537.304392,19.676222,4.810658,-21.618271,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
64.200000,1654.625076,-336.965033,3524.338163,19.625496,4.832261,-21.602537,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
64.800000,1666.385083,-334.059108,3511.381361,19.574549,4.854126,-21.586800,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
65.400000,1678.114464,-331.139993,3498.433988,19.523424,4.876209,-21.571080,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
66.000000,1689.813132,-328.207580,3485.496037,19.472150,4.898477,-21.555386,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
66.600000,1701.481005,-325.261767,3472.567494,19.420757,4.920898,-21.539726,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
67.200000,1713.118013,-322.302462,3459.648337,19.369272,4.943442,-21.524105,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
67.800000,1724.724106,-319.329593,3446.738534,19.317718,4.966085,-21.508525,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
68.400000,1736.299253,-316.343111,3433.838059,19.266110,4.988812,-21.492985,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
69.000000,1747.843432,-313.342983,3420.946892,19.214459,5.011608,-21.477488,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
69.600000,1759.356622,-310.329171,3408.065010,19.162777,5.034463,-21.462033,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
70.200000,1770.838808,-307.301647,3395.192389,19.111075,5.057363,-21.446620,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
70.800000,1782.289978,-304.260380,3382.329001,19.059362,5.080299,-21.431252,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
71.400000,1793.710120,-301.205343,3369.474819,19.007650,5.103258,-21.415928,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
72.000000,1805.099232,-298.136522,3356.629819,18.955944,5.126235,-21.400649,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
72.600000,1816.457321,-295.053908,3343.793976,18.904249,5.149224,-21.385414,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
73.200000,1827.784390,-291.957494,3330.967268,18.852569,5.172220,-21.370224,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
73.800000,1839.080451,-288.847276,3318.149666,18.800908,5.195219,-21.355078,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
74.400000,1850.345516,-285.723253,3305.341141,18.749268,5.218219,-21.339975,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
75.000000,1861.579603,-282.585427,3292.541665,18.697653,5.241217,-21.324915,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
75.600000,1872.782727,-279.433803,3279.751212,18.646064,5.264210,-21.309898,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
76.200000,1883.954905,-276.268384,3266.969756,18.594501,5.287198,-21.294922,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
76.800000,1895.096154,-273.089175,3254.197274,18.542966,5.310179,-21.279988,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
77.400000,1906.206488,-269.896179,3241.433744,18.491461,5.333151,-21.265096,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
78.000000,1917.285925,-266.689401,3228.679139,18.439986,5.356114,-21.250245,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
78.600000,1928.334487,-263.468849,3215.933432,18.388543,5.379066,-21.235435,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
79.200000,1939.352191,-260.234528,3203.196599,18.337133,5.402006,-21.220667,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
79.800000,1950.339059,-256.986447,3190.468615,18.285755,5.424933,-21.205940,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
80.400000,1961.295123,-253.724617,3177.749439,18.234410,5.447848,-21.191254,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
81.000000,1972.220403,-250.449048,3165.039047,18.183099,5.470750,-21.176609,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
81.600000,1983.114917,-247.159747,3152.337422,18.131822,5.493638,-21.162004,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
82.200000,1993.978679,-243.856723,3139.644545,18.080579,5.516512,-21.147441,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
82.800000,2004.811706,-240.539984,3126.960400,18.029370,5.539370,-21.132920,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
83.400000,2015.614015,-237.209538,3114.284965,17.978196,5.562213,-21.118439,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
84.000000,2026.385628,-233.865385,3101.618211,17.927057,5.585043,-21.103998,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
84.600000,2037.126564,-230.507528,3088.960109,17.875951,5.607859,-21.089595,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
85.200000,2047.836844,-227.135971,3076.310630,17.824880,5.630663,-21.075229,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
85.800000,2058.516486,-223.750707,3063.669749,17.773838,5.653466,-21.060897,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
86.400000,2069.165489,-220.351699,3051.037450,17.722805,5.676325,-21.046597,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
87.000000,2079.783850,-216.938901,3038.413722,17.671757,5.699312,-21.032325,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
87.600000,2090.371565,-213.512265,3025.798555,17.620667,5.722498,-21.018079,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
88.200000,2100.928623,-210.071726,3013.191939,17.569505,5.745969,-21.003854,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
88.800000,2111.454918,-206.616915,3000.593878,17.518136,5.770102,-20.989637,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
89.400000,2121.950290,-203.147309,2988.004367,17.466475,5.795136,-20.975415,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
90.000000,2132.414612,-199.662511,2975.423382,17.414599,5.820855,-20.961196,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
90.600000,2142.847755,-196.162105,2962.850923,17.362544,5.847157,-20.946993,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
91.200000,2153.249621,-192.645770,2950.286979,17.310345,5.873946,-20.932814,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
91.800000,2163.620135,-189.113248,2937.731536,17.258031,5.901141,-20.918664,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
92.400000,2173.959226,-185.564276,2925.184565,17.205628,5.928665,-20.904546,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
93.000000,2184.266851,-181.998672,2912.646044,17.153158,5.956460,-20.890462,0.348068,0.273867,0.823595,-0.354311,-0.255182,0.498120,0.000000
